rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd
114,2968,2968,1002,외선,신설동행 - 신답방면,1002002114,1002002112,1002002113,용두,1,01000신설동0,1002,1002002113,일반,5,1559,47,신설동,2023-11-21 10:35:50,용두 도착,용두,1
125,2968,2968,1075,상행,왕십리행 - 청량리방면,1075075211,1075075209,1075075210,왕십리,4,01000왕십리0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,0,6066,165,왕십리,2023-11-21 10:30:40,왕십리 도착,왕십리,1
137,2968,2968,1075,상행,왕십리행 - 선정릉방면,1075075216,1075075214,1075075215,선릉,2,01000왕십리0,"1002,1075","1002000220,1075075215",일반,0,6068,165,왕십리,2023-11-21 10:36:22,선릉 진입,선릉,0
140,2968,2968,1063,상행,용산행 - 응봉방면,1063075117,1063075115,1063075116,왕십리,4,01000용산0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,0,5050,1,용산,2023-11-21 10:35:21,왕십리 진입,왕십리,0
151,2968,2968,1006,상행,응암순환(상선)행 - 청구방면,1006000636,1006000634,1006000635,신당,2,01000응암순환(상선)0,"1002,1006","1002000206,1006000635",일반,60,6116,9,응암순환(상선),2023-11-21 10:36:28,신당 전역출발,신당,3
154,2968,2968,1006,상행,응암순환(상선)행 - 망원방면,1006000623,1006000621,1006000622,합정,2,01000응암순환(상선)0,"1002,1006","1002000238,1006000622",일반,60,6110,9,응암순환(상선),2023-11-21 10:36:27,합정 도착,합정,1
183,2968,2968,1007,상행,장암행 - 신풍방면,1007000745,1007000743,1007000744,대림,2,01000장암0,"1002,1007","1002000233,1007000744",일반,60,7128,1,장암,2023-11-21 10:36:18,대림 도착,대림,1
188,2968,2968,1001,상행,청량리행 - 영등포방면,1001000141,1001000139,1001000140,신도림,2,01000청량리0,"1001,1002","1001000140,1002000234",일반,0,1910,249,청량리,2023-11-21 10:36:13,신도림 도착,신도림,1
214,2968,2968,1009,상행,개화행 - 선유도방면,1009000914,1009000912,1009000913,당산,2,01001개화0,"1002,1009","1002000237,1009000913",일반,120,9067,901,개화,2023-11-21 10:36:24,전역 진입,국회의사당,4
229,2968,2968,1004,상행,당고개행 - 총신대입구(이수)방면,1004000434,1004000432,1004000433,사당,2,01001당고개,"1002,1004","1002000226,1004000433",일반,125,4548,0,당고개,2023-11-21 10:35:55,전역 도착,남태령,5
294,2968,2968,1005,상행,방화행 - 을지로4가방면,1005000537,1005000535,1005000536,동대문역사문화공원,3,01001방화0,"1002,1004,1005","1002000205,1004000422,1005000536",일반,120,5562,1,방화,2023-11-21 10:36:05,전역 도착,청구,5
295,2968,2968,1005,상행,방화행 - 행당방면,1005000541,1005000539,1005000540,왕십리,4,01001방화0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,60,5086,1,방화,2023-11-21 10:36:05,왕십리 전역출발,마장,3
308,2968,2968,1002,외선,성수행 - 홍대입구방면,1002000241,1002000239,1002000240,신촌,1,01001성수0,1002,1002000240,일반,95,2181,88,성수,2023-11-21 10:36:20,전역 도착,이대,5
309,2968,2968,1002,외선,성수행 - 당산방면,1002000239,1002000237,1002000238,합정,2,01001성수0,"1002,1006","1002000238,1006000622",일반,108,2179,88,성수,2023-11-21 10:36:20,전역 진입,홍대입구,4
310,2968,2968,1002,외선,성수행 - 충정로방면,1002000202,1002000243,1002000201,시청,2,01001성수0,"1001,1002","1001000132,1002000201",일반,60,2185,88,성수,2023-11-21 10:36:20,전역 도착,을지로입구,5
311,2968,2968,1002,외선,성수행 - 을지로3가방면,1002000205,1002000203,1002000204,을지로4가,2,01001성수0,"1002,1005","1002000204,1005000535",일반,109,2187,88,성수,2023-11-21 10:36:20,전역 도착,동대문역사문화공원,5
312,2968,2968,1002,외선,성수행 - 신당방면,1002000208,1002000206,1002000207,상왕십리,1,01001성수0,1002,1002000207,일반,90,2191,88,성수,2023-11-21 10:36:20,전역 도착,왕십리,5
